State_FIPS,time_m,cpi
1,82.0,0.20735446
1,83.0,0.20735446
1,84.0,0.20735446
1,85.0,0.20735446
1,86.0,0.20798472
1,87.0,0.20861498
1,88.0,0.20924523
1,89.0,0.20987548
1,90.0,0.21050575
1,91.0,0.211136
1,92.0,0.21176624
1,93.0,0.21239652
1,96.0,0.21491754
1,97.0,0.2155478
1,98.0,0.21617806
1,99.0,0.2168083
1,100.0,0.21743858
1,101.0,0.21869907
1,102.0,0.21995959
1,103.0,0.22058986
1,104.0,0.2212201
1,105.0,0.22248062
1,106.0,0.22311088
1,107.0,0.22374113
1,108.0,0.2243714
1,109.0,0.2256319
1,110.0,0.22752269
1,111.0,0.22878319
1,112.0,0.22941345
1,113.0,0.23067395
1,114.0,0.23193447
1,115.0,0.23319499
1,116.0,0.23382524
1,117.0,0.23508576
1,118.0,0.23634627
1,119.0,0.23760678
1,120.0,0.23823702
1,123.0,0.24264884
1,124.0,0.2432791
1,125.0,0.2445396
1,126.0,0.24580012
1,127.0,0.24580012
1,128.0,0.24706064
1,129.0,0.24832116
1,130.0,0.24958166
1,131.0,0.25084215
1,132.0,0.25084215
1,133.0,0.25147244
1,134.0,0.25210267
1,135.0,0.25273296
1,136.0,0.25399345
1,137.0,0.25588423
1,138.0,0.2565145
1,139.0,0.25714475
1,140.0,0.25714475
1,141.0,0.25777498
1,142.0,0.25777498
1,143.0,0.2590355
1,144.0,0.2590355
1,145.0,0.26029602
1,146.0,0.26092628
1,147.0,0.26155654
1,148.0,0.2621868
1,149.0,0.26281705
1,150.0,0.26407757
1,151.0,0.2647078
1,152.0,0.2653381
1,153.0,0.2665986
1,154.0,0.26722884
1,155.0,0.2678591
1,156.0,0.26848936
1,157.0,0.2703801
1,158.0,0.27290115
1,159.0,0.27479193
1,160.0,0.2766827
1,161.0,0.27857345
1,162.0,0.27920374
1,165.0,0.2873971
1,168.0,0.29369962
1,171.0,0.30252323
1,174.0,0.31134683
1,177.0,0.32206118
1,180.0,0.32836375
4,-216.0,0.09895031
4,-213.0,0.10147133
4,-210.0,0.103362106
4,-207.0,0.10525288
4,-204.0,0.10651338
4,-201.0,0.10966467
4,-200.0,0.11029493
4,-199.0,0.11029493
4,-198.0,0.10966467
4,-197.0,0.10903441
4,-196.0,0.10966467
4,-195.0,0.10966467
4,-194.0,0.10966467
4,-193.0,0.10966467
4,-192.0,0.10966467
4,-191.0,0.10966467
4,-190.0,0.10966467
4,-189.0,0.11029493
4,-188.0,0.11029493
4,-187.0,0.11092518
4,-186.0,0.11155544
4,-185.0,0.11155544
4,-184.0,0.11155544
4,-183.0,0.11155544
4,-182.0,0.11155544
